Country;exe_part4510;exe_part8110;fed_unit4510;fed_unit8110;enpp4510;enpp8110;minwin_one_part4510;minwin_one_part8110;exe_dom4510;exe_dom8110;disprop4510;disprop8110;inter_gr_plural4510;inter_gr_plural8110;federal4510;federal8110;bicam4510;bicam8110;const_rigid4510;const_rigid8110;judic_rev4510;judic_rev8110;cen_bank_indep4594;cen_bank_indep8194;gov_effectiv9609;regu_quality9609;rule_of_law9609;ctrl_corrupt9609;corrupt_perc10;gdp_growth8109;gdp_growth9109;consum_price8109;gdp_deflat8109;consum_price9109;gdp_deflat9109;unempl8109;unempl9109;budget_balanc0008;budget_balanc0307;heri_free0910;fras_free08;pol_stab9609;confl_risk9004;domes_conflict_weight8109;domes_conflict_weight9009;deaths_domes_terror8510;voice_account9609;eiu_democ0610;elec_plural0610;gov_funct0610;pol_part0610;pol_cult0610;civ_lib0610;women_parl_rep90;women_parl_rep10;women_cab_rep95;women_cab_rep08;gender_ineq08;10_10_ratio00;20_20_ratio00;gini_ineq00;turnout8110;non_mand_turnout8110;satis_democ9596;satis_democ0507;soc_expend05;mand_soc_expend05;envir_perform10;incarceration10;death_pen10;foreign_aid90;foreign_aid05;aid_vers_def05
ARG;-0.93;-1.01;1.38;1.34;3.15;3.15;82.4;82.4;8.00;8.00;17.98;17.98;2.70;2.70;4.5;4.5;4.0;4.0;4.0;4.0;2.7;2.7;0.39;0.39;-0.08;-0.42;-0.48;-0.38;2.9;;3.210;;;15.849;13.745;;12.531;;;51.7;5.99;-0.09;10.23;;934;5;0.28;6.70;8.75;5.24;5.56;5.84;8.14;6.3;38.5;0.0;23;534;31.8;16.3;51.3;78.43;;35;45.1;;;61.0;151;0;;;
AUL;-0.73;-0.65;1.63;1.58;2.22;2.19;80.7;86.5;9.10;7.37;9.44;10.07;2.12;1.88;5.0;5.0;4.0;4.0;4.0;4.0;3.0;3.0;0.42;0.42;1.76;1.56;1.72;1.91;8.7;1.880;1.906;4.507;4.607;2.601;2.774;7.331;7.155;1.2;1.2;82.5;7.90;1.01;11.36;62;34;0;1.42;9.13;10.00;8.93;7.78;8.96;10.00;6.1;24.7;5.9;24;296;12.5;7.0;35.2;82.87;;;51.5;18.5;19.5;65.7;133;0;0.34;0.25;14
AUT;0.43;0.64;1.07;0.97;2.68;3.23;43.3;47.4;8.07;5.90;2.51;2.02;0.38;0.38;4.5;4.5;2.0;2.0;3.0;3.0;3.0;3.0;0.55;0.53;1.80;1.51;1.83;1.95;7.9;1.732;1.613;2.623;2.382;2.145;1.692;3.912;4.097;-1.8;-2.2;71.9;7.61;1.15;11.79;103;125;0;1.37;8.56;9.58;7.98;7.78;8.34;9.12;11.5;27.9;23.5;38;300;6.9;4.4;29.1;78.23;78.23;63;;24.9;25.5;78.1;103;0;0.11;0.52;58
BAH;-1.50;-1.33;-0.15;-0.18;1.69;1.74;100.0;100.0;9.44;7.37;16.48;15.90;3.00;3.00;1.0;1.0;2.0;2.0;3.0;3.0;2.0;2.0;0.41;0.41;1.14;1.01;1.16;1.28;;;;;;;;;;;-1.8;68.0;7.21;0.89;10.83;0;0;2;1.09;;;;;;;4.1;12.2;27.3;8;;;;;67.16;67.16;;;;;;376;2;;;
BAR;-1.28;-1.20;-0.49;-0.53;1.68;1.62;100.0;100.0;8.87;7.37;17.27;18.72;2.20;2.00;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;0.38;0.38;1.36;0.98;1.12;1.32;7.8;;;;;;;;;;;68.5;6.35;1.05;;17;25;2;1.21;;;;;;;3.7;10.0;27.3;28;448;;;;71.35;71.35;;;;;;326;2;;;
BEL;1.14;1.10;0.10;0.44;4.72;6.13;37.3;36.3;2.57;4.21;3.35;3.75;1.15;1.33;3.5;4.2;2.8;2.5;3.0;3.0;1.8;2.7;0.27;0.30;1.68;1.24;1.31;1.37;7.1;1.552;1.371;2.930;2.756;2.062;1.961;8.744;8.054;-0.5;-0.7;70.2;7.22;0.92;11.59;192;169;0;1.39;8.12;9.58;8.21;6.11;7.29;9.41;8.5;39.3;11.8;23;236;8.2;4.9;33.0;86.32;;54;;26.2;26.2;58.1;97;0;0.46;0.53;48
BOT;-1.43;-1.62;-0.48;-0.52;1.38;1.43;100.0;100.0;9.90;9.90;14.61;18.48;2.60;2.60;1.0;1.0;2.5;2.5;2.0;2.0;2.0;2.0;0.33;0.33;0.62;0.67;0.61;0.85;5.8;4.486;2.907;9.989;9.922;9.676;8.824;;;;;68.8;7.09;0.88;11.15;19;22;3;0.62;7.57;9.17;7.50;5.19;6.67;9.31;5.0;7.9;7.7;28;663;43.0;20.4;60.5;46.54;46.54;;;;;41.3;267;2;;;
CAN;-1.00;-1.03;1.73;1.81;2.52;2.66;88.4;89.9;8.10;7.37;11.56;13.14;3.25;3.17;5.0;5.0;3.0;3.0;4.0;4.0;3.4;3.9;0.52;0.52;1.86;1.50;1.70;1.99;8.9;1.430;1.344;3.382;3.038;2.020;1.956;8.687;8.280;1.4;1.4;80.8;7.95;1.04;11.56;155;169;2;1.50;9.07;9.31;9.52;7.78;8.75;10.00;13.3;22.1;17.4;16;289;9.4;5.5;32.6;59.88;59.88;;45.8;18.7;18.7;66.4;117;0;0.44;0.34;31
CR;-0.37;-0.38;-0.28;-0.12;2.67;2.81;85.8;85.2;3.00;3.00;14.38;14.77;2.20;2.20;1.0;1.0;1.0;1.0;3.0;3.0;2.7;3.4;0.37;0.37;0.36;0.55;0.56;0.61;5.3;1.667;2.615;18.289;19.229;13.606;13.141;5.880;5.534;;;67.3;7.45;0.78;9.83;192;266;1;1.00;8.04;9.58;8.21;6.11;6.88;9.41;10.5;38.6;12.0;29;501;28.8;14.2;49.8;74.56;74.56;;;;;86.4;228;0;;;
DEN;1.31;1.35;-0.34;-0.42;4.57;4.95;23.6;5.7;3.23;3.69;1.71;1.60;0.78;0.88;2.0;2.0;1.2;1.0;2.0;2.0;2.0;2.0;0.46;0.46;2.10;1.69;1.86;2.32;9.3;1.549;1.279;3.414;3.271;2.081;1.971;6.436;5.908;2.7;3.5;78.6;7.69;1.15;11.61;90;84;0;1.59;9.52;10.00;9.64;8.89;9.38;9.71;30.7;38.0;35.0;37;209;8.1;4.3;24.7;83.51;83.51;83;;24.1;24.2;69.2;71;0;0.94;0.81;45
